3.84350000E+00	4.01100000E-01	-1.43030000E-04
5.14200000E-01	3.34500000E-01	-7.10710000E-05
-5.46150000E+00	3.27200000E-01	-1.06720000E-04
-4.94620000E+00	2.90000000E-01	-6.96650000E-05
-3.20160000E+00	2.67500000E-01	-6.61780000E-05
-8.22230000E+00	2.62300000E-01	-5.73660000E-05
-1.03780000E+01	2.44000000E-01	-5.40030000E-05
3.94040000E+00	1.66400000E-01	1.44700000E-05
-6.80210000E+00	1.86900000E-01	3.49290000E-07
-7.29700000E+00	1.85100000E-01	-4.80080000E-06
-3.27530000E+00	1.79600000E-01	-1.66380000E-05
-2.72090000E+00	1.73300000E-01	-1.38200000E-05

