Jmac	etamac
0	0
0.018618189	0.114257873
0.055756627	0.23466866
0.083632056	0.34882342
0.111484439	0.437541711
0.148611345	0.54523422
0.157903152	0.583285792
0.167189198	0.614978248
0.191909745	0.652857958
0.213556064	0.703490257
0.23829965	0.766806398
0.259934447	0.804720457
0.281569243	0.854117647
0.315547032	0.905882353
0.342200067	0.930337079
0.39891983	0.964705882
0.451389069	0.970588235
0.516207059	0.976470588
0.571762044	0.982352941
0.62730551	0.983529412
0.685940482	0.983529412
0.840222122	0.991764706
0.920445808	0.994117647
1.000675249	1
1.0266002	1
1.140666889	1
1.197700233	1
1.262906199	0.988235294
1.368800267	0.858823529
1.403020273	0.760378601
1.426208975	0.639108665
1.450785559	0.518010596
1.469173375	0.377903944
1.484458163	0.218754333
1.493611748	0.104187236
1.499976959	0
