-9.35000000E-03	1.40280000E-04	3.31800000E-08
-1.93600000E-02	1.25470000E-04	3.82980000E-08
-8.69000000E-03	6.64090000E-05	7.87600000E-08
-1.82000000E-03	1.93960000E-05	1.38180000E-07
-1.37000000E-03	1.80810000E-05	1.21360000E-07
-2.00000000E-03	7.77880000E-06	1.38240000E-07
-1.72000000E-03	1.65650000E-05	1.05250000E-07
-2.13000000E-03	1.84560000E-05	9.47750000E-08
-6.55000000E-03	3.26370000E-05	7.71500000E-08
-1.13000000E-03	8.10900000E-06	9.60920000E-08
1.36400000E-02	-4.83030000E-05	1.43960000E-07
-6.16070000E-03	4.36770000E-05	3.16490000E-08

