6.04439380E-01	-4.36327040E+01	-8.84419490E+02	1.89721500E+00
5.43303180E-01	-1.88238980E+02	8.87265670E+03	2.44993620E+00
6.88876440E-01	4.87271680E+00	-5.95650530E+02	5.55695770E-01
5.81905870E-01	4.69414240E+01	-6.87595820E+03	9.15919090E-01
7.85301330E-01	-1.65249030E+02	1.26215440E+04	2.23634550E+00
7.83877800E-01	-3.82604080E+02	4.90401580E+04	8.52227850E-01
6.04439380E-01	-4.36327040E+01	-8.84419490E+02	1.89721500E+00
7.84665900E-01	1.50604680E+01	-2.53747560E+03	6.74588250E-01
5.95360710E-01	-5.78674160E+01	-3.86586070E+02	2.05943920E+00
5.56386590E-01	-1.50826850E+02	5.48965890E+03	2.37487760E+00
6.19363570E-01	-4.46086070E+01	-1.34607140E+03	1.95975620E+00
7.31019890E-01	6.04683460E+00	3.56303720E+03	1.09557720E+00
