# run,W0,D,L,Dp,delDp,phi,Dpcorr,eps,pamb,dpsErg,dpsK,Tmean,phase,phaseshift,TampL,timex,Nuf,Nus,Nuact
1.5000000e+01,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,1.6780763e+01,2.4284414e+01,2.8306412e+02,8.1844509e-02,1.2803278e-02,5.7045851e-01,8.7000110e-01,8.5985548e+00,8.5144925e+00,3.5729492e+01
1.6000000e+01,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,6.2390936e+01,9.4695885e+01,2.8315448e+02,8.4384751e-02,1.5160221e-02,1.8979058e+00,5.3910721e-01,1.6136894e+01,1.3878282e+01,5.3955757e+01
1.7000000e+01,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,1.3683052e+02,2.1123441e+02,2.8310154e+02,8.2863257e-02,1.5869099e-02,3.5093130e+00,4.5449240e-01,2.3989509e+01,2.3925030e+01,6.9903337e+01
1.8000000e+01,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,2.4009951e+02,3.7390000e+02,2.8311922e+02,8.3200006e-02,1.6235455e-02,5.2565456e+00,3.7114834e-01,3.3976519e+01,3.3914955e+01,8.4185017e+01
1.9000000e+01,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,3.7219792e+02,5.8269264e+02,2.8314038e+02,8.3402121e-02,1.5585406e-02,7.0474556e+00,2.8747413e-01,3.7002323e+01,3.6954501e+01,9.7400137e+01
2.0000000e+01,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,5.3312573e+02,8.3761233e+02,2.8315978e+02,8.3543703e-02,1.5132078e-02,8.8294658e+00,2.8645570e-01,5.3574069e+01,5.3521795e+01,1.0986918e+02
2.1000000e+01,1.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,1.4406319e+00,1.8169960e+00,2.8314755e+02,8.3620716e-02,7.8095412e-03,5.6247146e-02,8.6506760e-01,2.5719952e+00,2.5357658e+00,1.8853732e+01
2.2000000e+01,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,1.0264497e+01,1.4959149e+01,2.8313030e+02,8.4443553e-02,1.2803091e-02,7.4340457e-01,8.6999222e-01,8.8741258e+00,8.7853080e+00,3.6243641e+01
2.3000000e+01,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,3.8356796e+01,5.8442782e+01,2.8309050e+02,8.2179337e-02,1.2956220e-02,2.2793073e+00,5.3688301e-01,1.8392618e+01,1.8256670e+01,5.5046560e+01
2.4000000e+01,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,8.4276897e+01,1.3045090e+02,2.8311129e+02,8.2861331e-02,1.4411535e-02,4.0580354e+00,3.7016173e-01,2.5987379e+01,2.5886764e+01,7.1590461e+01
2.5000000e+01,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,1.4802480e+02,2.3098350e+02,2.8312754e+02,8.3202317e-02,1.5135990e-02,5.9528243e+00,3.7006511e-01,3.5645315e+01,3.5567939e+01,8.6463190e+01
2.6000000e+01,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,2.2960051e+02,3.6004059e+02,2.8314948e+02,8.3407998e-02,1.4707462e-02,7.8631259e+00,2.8662287e-01,4.2832863e+01,4.2758269e+01,1.0026214e+02
2.7000000e+01,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.0000000e-01,1.0132500e+05,3.2900402e+02,5.1762215e+02,2.8317101e+02,8.3554033e-02,1.4402682e-02,9.7350278e+00,2.8576824e-01,4.9789988e+01,4.9752339e+01,1.1330804e+02
2.8000000e+01,1.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,9.0333172e-01,1.1573267e+00,2.8314251e+02,8.3621241e-02,7.8094850e-03,9.6675484e-02,8.6506008e-01,2.7364967e+00,2.6967125e+00,1.9051455e+01
