# W0,eps,Dp,L,lamda,Tf0,V0,rhof0,cpf0,muf0,kf0,Rep,Pr,c0,c1,c2,r2
9.0000000e-03,3.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999414e+02,7.6793342e-01,1.1719766e+00,1.0096700e+03,1.8501474e-05,2.5834380e-02,9.7289547e+02,7.2308228e-01,1.4499763e-02,4.1412153e+00,9.4127713e-01,9.9968857e-01
1.2000000e-02,3.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999396e+02,1.0239106e+00,1.1719773e+00,1.0096699e+03,1.8501465e-05,2.5834367e-02,1.2971946e+03,7.2308228e-01,1.9086502e-02,3.2445589e+00,9.4048933e-01,9.9989104e-01
1.5000000e-02,3.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999847e+02,1.2799075e+00,1.1719597e+00,1.0096705e+03,1.8501681e-05,2.5834684e-02,1.6214743e+03,7.2308228e-01,2.3890247e-02,2.6010729e+00,9.4018793e-01,9.9955521e-01
1.8000000e-02,3.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999724e+02,1.5358827e+00,1.1719645e+00,1.0096704e+03,1.8501622e-05,2.5834597e-02,1.9457753e+03,7.2308228e-01,2.6682887e-02,2.2670805e+00,9.3966517e-01,9.9940342e-01
1.0000000e-03,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9998951e+02,8.5324618e-02,1.1719947e+00,1.0096694e+03,1.8501252e-05,2.5834055e-02,1.0810079e+02,7.2308228e-01,-6.1989447e-04,1.9904246e-01,9.4420927e-01,7.1056908e-02
3.0000000e-03,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999181e+02,2.5597582e-01,1.1719857e+00,1.0096697e+03,1.8501362e-05,2.5834217e-02,3.2430044e+02,7.2308228e-01,5.3595072e-03,7.8168765e+00,9.4294674e-01,9.9302563e-01
6.0000000e-03,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9996177e+02,5.1190037e-01,1.1721031e+00,1.0096658e+03,1.8499924e-05,2.5832109e-02,6.4865131e+02,7.2308228e-01,1.1405467e-02,4.6801185e+00,9.4239813e-01,9.9965093e-01
9.0000000e-03,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999938e+02,7.6794684e-01,1.1719561e+00,1.0096706e+03,1.8501725e-05,2.5834748e-02,9.7288227e+02,7.2308228e-01,1.5666823e-02,3.6872360e+00,9.4131533e-01,9.9991115e-01
1.2000000e-02,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999454e+02,1.0239126e+00,1.1719751e+00,1.0096700e+03,1.8501493e-05,2.5834408e-02,1.2971926e+03,7.2308228e-01,1.9751359e-02,2.9899281e+00,9.4041851e-01,9.9976690e-01
1.5000000e-02,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999796e+02,1.2799053e+00,1.1719617e+00,1.0096704e+03,1.8501657e-05,2.5834648e-02,1.6214764e+03,7.2308228e-01,2.4590775e-02,2.4124105e+00,9.4024992e-01,9.9941159e-01
